aX,aY,aZ,gX,gY,gZ
1.108,-0.169,-0.059,-4.517,-7.263,-0.366
1.151,-0.075,-0.017,-1.343,-25.269,4.333
1.162,-0.019,-0.026,6.470,-43.579,7.690
1.134,0.020,-0.035,15.320,-56.396,8.118

1.076,0.009,0.073,-8.850,9.033,14.160
1.005,-0.031,-0.021,-10.559,2.869,9.644
0.985,-0.048,0.089,-9.705,6.653,4.883
0.951,-0.074,0.061,-12.573,13.062,2.686
0.970,-0.114,0.042,-14.954,19.348,5.676
0.992,-0.144,0.070,-15.320,25.146,10.742
1.013,-0.181,0.047,-13.184,27.710,15.442
1.024,-0.196,0.049,-10.742,31.494,18.250
1.058,-0.218,0.095,-8.423,36.438,20.081
1.110,-0.238,0.142,-4.150,40.527,22.034
1.185,-0.273,0.185,3.357,39.063,24.109
1.233,-0.311,0.205,13.489,30.945,25.818
1.244,-0.353,0.217,23.254,19.409,25.330
1.235,-0.396,0.225,31.982,10.071,22.949
1.234,-0.464,0.205,40.100,7.141,17.761
1.242,-0.553,0.162,45.227,8.972,11.047
1.245,-0.625,0.122,46.204,12.390,1.831
1.256,-0.676,0.084,42.480,15.442,-6.897
1.237,-0.707,0.068,36.499,17.578,-12.451
1.214,-0.749,0.130,30.151,18.677,-14.465
1.150,-0.795,0.049,22.278,16.968,-16.357
1.108,-0.760,0.035,17.395,16.113,-18.127
1.078,-0.740,0.023,14.404,18.494,-18.860
1.042,-0.760,0.034,12.024,20.935,-15.930
1.032,-0.778,0.033,10.193,18.433,-8.423
1.030,-0.748,0.010,9.216,7.935,5.188
1.043,-0.760,-0.011,9.888,-2.563,23.621
1.044,-0.777,-0.025,10.254,-14.954,39.124
1.008,-0.737,-0.083,8.118,-28.687,49.438
0.940,-0.673,-0.159,1.892,-39.001,55.969
0.876,-0.599,-0.220,-3.845,-44.495,58.838
0.799,-0.488,-0.268,-10.864,-44.739,56.152
0.729,-0.409,-0.315,-20.752,-38.757,48.401
0.666,-0.323,-0.346,-32.104,-28.931,41.748
0.588,-0.227,-0.345,-44.922,-18.188,38.391
0.529,-0.114,-0.316,-56.824,-7.324,36.133
0.444,0.012,-0.320,-62.927,1.343,35.278
0.335,0.167,-0.388,-63.110,7.996,37.720
0.272,0.432,-0.414,-62.317,15.686,46.021
0.335,0.585,-0.381,-54.871,21.484,59.753
0.428,0.699,-0.383,-46.997,16.541,69.397
0.449,0.860,-0.436,-45.349,2.380,69.763
0.389,1.188,-0.439,-41.382,-8.911,61.768
0.291,1.230,-0.362,-35.950,-13.733,52.795
0.476,1.682,-0.464,-22.400,-7.812,40.588
0.385,1.796,-0.209,-4.883,23.315,63.904
0.337,1.783,0.021,-7.568,26.794,91.125
0.511,1.897,0.055,-39.063,2.869,112.061
0.841,1.963,0.194,-65.125,-13.977,132.080
1.126,1.886,0.463,-60.974,-22.095,147.034
1.353,1.671,0.630,-45.532,-38.391,154.114
1.527,1.439,0.727,-35.278,-67.505,144.653
